category,town,name,url,live_on_site
Food & Drink,Kalamazoo,Food Dance,https://fooddance.net/product/gift-cards/,TRUE
Food & Drink,Bloomfield|Clarkston|Dearborn|Detroit|Fenton|Livonia|Sterling Heights|Warren,Andiamo,https://andiamoitalia.com/gift-cards/,TRUE
Food & Drink,Ann Arbor|Auburn Hills|Bloomfield Hills|Dearborn|Detroit|Farmington Hills|Grand Rapids|Grosse Pointe|Lansing|Livonia|Novi|Plymouth|Royal Oak|Shelby Township|Warren|Woodhaven,Buddy's Pizza,https://www.buddyspizza.com/shop,TRUE
Food & Drink,Dearborn|Detroit,Brome Modern Eatery,https://bromemoderneatery.com/giftcards/,TRUE
Food & Drink,Canton|Dearborn Heights|Farmington Hills,Antonio's Cucina Italiana,https://antoniosrestaurants.localgiftcards.com/,TRUE
Food & Drink,Dearborn,Roman Village Cucina Italiana,https://antoniosrestaurants.localgiftcards.com/,TRUE
Food & Drink,Livonia,Antontio's Piccolo Ristorante,https://antoniosrestaurants.localgiftcards.com/,TRUE
Food & Drink,Kalamazoo,Rustica,https://rusticakzoo.com/gift-cards/,TRUE
Food & Drink,Kalamazoo,Zooroona Restaurant,https://zooroonarestaurant.com/zooroona-gift-certificates/,TRUE
Food & Drink,Grand Rapids|Grandville|Holland|Kalamazoo|Westland|Farmington Hills|Ann Arbor,Anna's House,https://annashouse.cardfoundry.com/giftcards.php,TRUE
Food & Drink,Kalamazoo,The Union,https://millennium.securetree.com/,TRUE
Food & Drink,Kalamazoo,Central City Tap House,https://millennium.securetree.com/,TRUE
Food & Drink,Portage,Centre Street Tap House,https://millennium.securetree.com/,TRUE
Food & Drink,Kalamazoo,600 Kitchen & Bar,https://millennium.securetree.com/,TRUE
Food & Drink,Portage,COVE Lakeside Bistro,https://millennium.securetree.com/,TRUE
Food & Drink,Fortage,Fieldstone Grill,https://millennium.securetree.com/,TRUE
Food & Drink,South Haven,Idler Riverboat & Dockside,https://millennium.securetree.com/,TRUE
Food & Drink,Kalamazoo,The Wine Loft,https://millennium.securetree.com/,TRUE
Food & Drink,Kalamazoo,Martell's,https://millennium.securetree.com/,TRUE
Books & Gifts,Ann Arbor,Nicola's Books,https://www.nicolasbooks.com/gift-cards,TRUE
Food & Drink,Chelsea,Cleary's Pub,https://www.toasttab.com/clearys-pub-clearys-pub/giftcards,TRUE
Food & Drink,Ann Arbor,Blind Pig / 8 Ball Saloon,https://www.toasttab.com/blingpig/giftcards,TRUE
Food & Drink,Grand Rapids,Kingfisher Restaurant & Deli,https://www.toasttab.com/kingfisherrestaurantanddeli/giftcards,TRUE
Food & Drink,Grand Rapids,Littlebird,https://squareup.com/gift/9QH609KF8TBC2/order,TRUE
Food & Drink,Grand Rapids,That Early Bird,https://squareup.com/gift/9QH609KF8TBC2/order,TRUE
Books & Gifts,Ann Arbor,Bookbound Bookstore,https://bookboundbookstore.com/,TRUE
Food & Drink,Ypsilanti,Go! Ice Cream,https://goicecreamgo.com/product/gift-cards/,TRUE
Food & Drink,Ypsilanti,Haab’s,http://haabsrestaurant.com/gift-certificates/,TRUE
Barbers & Salons,Detroit|Ferndale,Detroit Barbers,https://detroitbarbers.com/collections/gift-cards,TRUE
Barbers & Salons,Grand Rapids,Henchmen House Barbershop,https://squareup.com/gift/N8MHQK0ZEV6YV/order,TRUE
Barbers & Salons,Holland,Harrington Salon & Day Spa,https://www.harrington-salon.com/gift-cards,TRUE
Barbers & Salons,Holt,Steven L. Marvin Salon and Wellness Spa,https://stevenlmarvin.com/gift-certificates/,TRUE
Barbers & Salons,Birmingham,Antonino Salon and Spa,https://antoninosalon.com/services/gift-certificates/,TRUE
Barbers & Salons,Novi,Visions Spa Salon,https://visionsspasalon.millenniumegift.com/,TRUE
Barbers & Salons,Ann Arbor,Avissa Skin+Body,https://avissasalon.com/salon-gift-cards-ann-arbor-michigan/,TRUE
Barbers & Salons,Frankenmuth|Linden,Serndipity Wellness Spa,https://www.serendipitydayspas.com/Wellness-Spa-Gift-Cards-Linden-Frankenmuth,TRUE
Barbers & Salons,Grandville|Grand Rapids|Portage,Design1 Salon Spa,https://design1.millenniumegift.com/,TRUE
Barbers & Salons,Sterling Heights,Studio 9 Salon,https://studio9salon.com/studio-9-salon-gift-cards/,TRUE
Barbers & Salons,Grand Rapids,The Woodhouse Day Spa,https://grandrapids.woodhousespas.com/purchase-gift-card,TRUE
Barbers & Salons,Portage,Eve Salonspa,http://www.evesalonspa.com/gift-certificates,TRUE
Barbers & Salons,Southfield,Pigalle Salon & MedSpa,https://www.pigallesalon.com/gift-cards/,TRUE
Barbers & Salons,Saginaw,Ana Luis Salon & Day Spa,https://www.analuisdayspa.com/instant-gift-certificates,TRUE
Barbers & Salons,Jackson,Personal Images Salon & Day Spa,http://www.personalimages.net/online-gift-cards/,TRUE
Barbers & Salons,Canton|Dearborn Heights|Farmington Hills,Indigo Salon Spa & Boutique,https://indigosalonspa.boomtime.com/lgift,TRUE
Barbers & Salons,Traverse City,Impres Salon Spa,https://www.impressalon.com/gift-certificates/,TRUE
Books & Gifts,Cadillac|Traverse City,Horizon Books,https://www.horizonbooks.com/gift%20certificate/gift-certificate,TRUE
Books & Gifts,Traverse City,Brilliant Books,https://www.brilliant-books.net/online-egift-card,TRUE
Food & Drink,Ann Arbor|Charlevoix|Frankenmuth|Glen Arbor|Holland|Traverse City,Cherry Republic,https://cherryrepublic.com/gifts/gift-cards/,TRUE
